"","log prob"
"138th running of the kentucky derby",-7.56441135095967
"3rd season of one tree hill",-7.56441135095967
"a chance to win a prize",-7.56441135095967
"a couple of days ago and",-7.27672927850789
"a couple of years ago she",-7.27672927850789
"a difference in the lives of",-7.56441135095967
"a father can do for his",-7.56441135095967
"a feeling that is going to",-7.56441135095967
"a few of the things i",-7.56441135095967
"a force to be reckoned with",-7.05358572719368
"a friend is someone who knows",-7.56441135095967
"a good friend of mine who",-7.56441135095967
"a good idea at the time",-7.27672927850789
"a good way to start the",-7.27672927850789
"a good weekend was had by",-7.56441135095967
"a great time working on the",-7.56441135095967
"a great way to start off",-7.56441135095967
"a large skillet over medium heat",-7.05358572719368
"a light at the end of",-7.56441135095967
"a link to your blog post",-7.56441135095967
"a look at some of the",-6.87126417039972
"a lot of catching up to",-7.56441135095967
"a lot of getting used to",-7.56441135095967
"a lot of it has to",-7.56441135095967
"a lot of people come to",-7.56441135095967
"a lot of time and energy",-7.56441135095967
"a lot of work to do",-6.87126417039972
"a lot to be happy about",-7.56441135095967
"a man and a woman and",-7.56441135095967
"a once in a lifetime opportunity",-7.56441135095967
"a special place in my heart",-7.27672927850789
"a special thank you to the",-7.56441135095967
"a time there was a girl",-7.56441135095967
"a tip of the hat to",-7.56441135095967
"a year and a half ago",-7.27672927850789
"a year and a half later",-7.56441135095967
"about tomorrow for tomorrow will be",-7.56441135095967
"about what needs to be done",-7.56441135095967
"about you and still loves you",-7.56441135095967
"accept the things i cannot change",-7.56441135095967
"act like a lady think like",-7.56441135095967
"after a long day at work",-7.56441135095967
"after an hour and a half",-7.56441135095967
"alexander and the terrible horrible no",-7.56441135095967
"all about you and still loves",-7.56441135095967
"all i can do is sit",-7.56441135095967
"all i can think about is",-7.27672927850789
"all i can think is my",-7.56441135095967
"all i could do to get",-7.56441135095967
"all i have to do is",-7.27672927850789
"all i want to do is",-6.58358209794794
"all is right with the world",-7.56441135095967
"all know what i'm talking about",-7.56441135095967
"all of the moms out there",-7.56441135095967
"all the days of her life",-7.56441135095967
"all the help we can get",-7.56441135095967
"all the way back to the",-7.56441135095967
"all the way to the end",-7.27672927850789
"all you have to do is",-6.02396631001252
"all you need is a little",-7.56441135095967
"all you need to do is",-6.46579906229156
"am i the only one who",-5.95497343852557
"am now a huge fan of",-7.56441135095967
"am really looking forward to it",-7.27672927850789
"am so not looking forward to",-7.27672927850789
"am still trying to figure out",-7.56441135095967
"am trying to figure out what",-7.56441135095967
"an end of the year celebration",-7.56441135095967
"an increase in the number of",-7.56441135095967
"and a flat screen tv is",-7.56441135095967
"and all i have to do",-7.56441135095967
"and all this time i thought",-7.56441135095967
"and at the end of the",-6.87126417039972
"and be kind to one another",-7.56441135095967
"and by the end of the",-7.56441135095967
"and don't get me wrong i",-7.56441135095967
"and for the first time in",-7.27672927850789
"and have a vested interest in",-7.56441135095967
"and his father in law is",-7.56441135095967
"and hope to see you at",-7.56441135095967
"and i'm not a fan of",-7.56441135095967
"and i'm not just saying that",-7.56441135095967
"and i can't wait for the",-7.56441135095967
"and i can't wait to get",-7.27672927850789
"and i can't wait to see",-6.71711349057246
"and i don't know what to",-7.56441135095967
"and i get to go to",-7.56441135095967
"and i had no idea what",-7.56441135095967
"and i have a lot of",-7.56441135095967
"and i have been trying to",-7.56441135095967
"and i have to go to",-7.56441135095967
"and i have yet to find",-7.56441135095967
"and i like it that way",-7.56441135095967
"and i love you so much",-7.56441135095967
"and i smile every time i",-7.56441135095967
"and i thank you for your",-7.56441135095967
"and if you don't share it",-7.56441135095967
"and is a member of the",-7.56441135095967
"and it was so much fun",-7.56441135095967
"and let me know if you",-7.27672927850789
"and let me know what you",-7.05358572719368
"and let the chips fall where",-7.56441135095967
"and let us know what you",-7.05358572719368
"and salt and pepper if needed",-7.56441135095967
"and tell me what you think",-7.27672927850789
"and the terrible horrible no good",-7.56441135095967
"and this is a good thing",-7.56441135095967
"and yet there are times when",-7.56441135095967
"and you all know how i",-7.56441135095967
"and you can see that the",-7.56441135095967
"and you can use it to",-7.56441135095967
"another in a long line of",-7.56441135095967
"anxious about tomorrow for tomorrow will",-7.56441135095967
"anxious for itself sufficient for the",-7.56441135095967
"any questions please feel free to",-7.56441135095967
"anything i can do to help",-6.87126417039972
"anything you would like to see",-7.56441135095967
"anywhere in the world where would",-7.56441135095967
"appeals for the second circuit in",-7.56441135095967
"are going to be in a",-7.56441135095967
"are in the middle of the",-7.56441135095967
"are looking forward to another year",-7.56441135095967
"are not supposed to paralyze you",-7.56441135095967
"are two sides of the same",-7.56441135095967
"are we going to pay for",-7.56441135095967
"are you going to do another",-7.56441135095967
"around the back of his head",-7.56441135095967
"as far as i can tell",-6.87126417039972
"as far as i could tell",-7.56441135095967
"as fast as you can in",-7.56441135095967
"as good as it was last",-7.56441135095967
"as good as they're going to",-7.56441135095967
"as i thought it would be",-7.05358572719368
